"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Файлы","0","0","15","0","0"
"","","Ресурсы","0","0","4","0","0"
"","","Публикация","0","0","2","0","0"
"","","Папки","0","0","4","0","0"
"","","Корзина","0","0","1","0","0"
