"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 05 16:15:13 UTC 2026","Sat Sep 05 16:15:18 UTC 2026","5085","","api.tests.smoketests.YandexSmokeTest","","api.tests.smoketests.YandexSmokeTest","createAndDeleteFolder","Создание папки на диске","Создание папки на диске"
"passed","Sat Sep 05 16:15:13 UTC 2026","Sat Sep 05 16:15:16 UTC 2026","2776","","api.tests.smoketests.YandexSmokeTest","","api.tests.smoketests.YandexSmokeTest","haveAvailableSpace","Общий объем диска больше нуля","Общий объем диска больше нуля"
"passed","Sat Sep 05 16:15:13 UTC 2026","Sat Sep 05 16:15:15 UTC 2026","2362","","api.tests.smoketests.YandexSmokeTest","","api.tests.smoketests.YandexSmokeTest","authorizeSuccessfully","Получить информацию о диске","Получение информации о диске"
