"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Ресурсы","0","0","1","0","0"
"","","Авторизация","0","0","1","0","0"
"","","Папки","0","0","1","0","0"
