"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 19 20:05:56 UTC 2026","Wed Aug 19 20:06:01 UTC 2026","4305","","integration.tests.smoketests.YandexSmokeTest","","integration.tests.smoketests.YandexSmokeTest","createAndDeleteFolder","Создание папки на диске","Создание папки на диске"
"passed","Wed Aug 19 20:06:23 UTC 2026","Wed Aug 19 20:06:28 UTC 2026","4199","","integration.tests.positive.YandexPositiveParamTest","","integration.tests.positive.YandexPositiveParamTest","createFilesWithDifferentNames","createFilesWithDifferentNames(String) [2] Имя файла='мой файл' → 201","Создание файлов с разными допустимыми именами 201"
"passed","Wed Aug 19 20:05:58 UTC 2026","Wed Aug 19 20:06:03 UTC 2026","5091","","integration.tests.negative.YandexFolderNegativeTest","","integration.tests.negative.YandexFolderNegativeTest","return409WhenFolderAlreadyExists","Создание уже существующей папки","Создание папки с существующим именем 409"
"passed","Wed Aug 19 20:06:25 UTC 2026","Wed Aug 19 20:06:27 UTC 2026","2112","","integration.tests.positive.YandexPositiveParamTest","","integration.tests.positive.YandexPositiveParamTest","createFolderWithCyrillicAndSpaces","Создание папки с разными допустимыми именами и пробелами 201 [4] имя папки='PapkaFolder' → 201",""
"passed","Wed Aug 19 20:06:15 UTC 2026","Wed Aug 19 20:06:19 UTC 2026","4113","","integration.tests.positive.YandexPositiveParamTest","","integration.tests.positive.YandexPositiveParamTest","loadingFilesOfDifferentTypes","Загрузка файлов разных расширений → 201 [1] Загрузка файла с расширением .txt","Загрузка файлов разных типов"
"passed","Wed Aug 19 20:06:02 UTC 2026","Wed Aug 19 20:06:03 UTC 2026","628","","integration.tests.negative.YandexPublishNegativeTest","","integration.tests.negative.YandexPublishNegativeTest","return404NonPublishedResource","Удаление публикации несуществующего ресурса","Удаление публикации несуществующего ресурса  405"
"passed","Wed Aug 19 20:05:54 UTC 2026","Wed Aug 19 20:05:56 UTC 2026","1993","","integration.tests.negative.YandexAuthorizationNegativeTest","","integration.tests.negative.YandexAuthorizationNegativeTest","return401WhenNoToken","Запрос без токена","Запрос без токена 401"
"passed","Wed Aug 19 20:06:13 UTC 2026","Wed Aug 19 20:06:14 UTC 2026","714","","integration.tests.negative.YandexNegativeParamTest","","integration.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [4] overwrite='falsee' → 400",""
"passed","Wed Aug 19 20:05:58 UTC 2026","Wed Aug 19 20:05:58 UTC 2026","733","","integration.tests.negative.YandexFolderNegativeTest","","integration.tests.negative.YandexFolderNegativeTest","return400WhenEmptyPath","Пустой путь при создании папки","Пустой путь при создании папки 400"
"passed","Wed Aug 19 20:06:09 UTC 2026","Wed Aug 19 20:06:10 UTC 2026","761","","integration.tests.negative.YandexNegativeParamTest","","integration.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [11] overwrite=' ' → 400",""
"passed","Wed Aug 19 20:06:19 UTC 2026","Wed Aug 19 20:06:23 UTC 2026","4095","","integration.tests.positive.YandexPositiveParamTest","","integration.tests.positive.YandexPositiveParamTest","loadingFilesOfDifferentTypes","Загрузка файлов разных расширений → 201 [3] Загрузка файла с расширением .png","Загрузка файлов разных типов"
"passed","Wed Aug 19 20:06:04 UTC 2026","Wed Aug 19 20:06:05 UTC 2026","613","","integration.tests.negative.YandexNegativeParamTest","","integration.tests.negative.YandexNegativeParamTest","methodsFor405","Неподдерживаемый метод  405 [4] /v1/disk/resources/upload DELETE → 405",""
"passed","Wed Aug 19 20:06:23 UTC 2026","Wed Aug 19 20:06:25 UTC 2026","2380","","integration.tests.positive.YandexPositiveParamTest","","integration.tests.positive.YandexPositiveParamTest","createFolderWithCyrillicAndSpaces","Создание папки с разными допустимыми именами и пробелами 201 [1] имя папки='Папка' → 201",""
"passed","Wed Aug 19 20:06:19 UTC 2026","Wed Aug 19 20:06:23 UTC 2026","4127","","integration.tests.positive.YandexPositiveParamTest","","integration.tests.positive.YandexPositiveParamTest","createFilesWithDifferentNames","createFilesWithDifferentNames(String) [1] Имя файла='файл' → 201","Создание файлов с разными допустимыми именами 201"
"passed","Wed Aug 19 20:05:53 UTC 2026","Wed Aug 19 20:06:04 UTC 2026","11095","","integration.tests.positive.YandexPublishPositiveTest","","integration.tests.positive.YandexPublishPositiveTest","publishFolderAndCheckPublicStatus","Публикация папки, проверка публичного статуса","Публикация папки и проверка, что она стала публичной 200"
"passed","Wed Aug 19 20:05:56 UTC 2026","Wed Aug 19 20:05:56 UTC 2026","625","","integration.tests.negative.YandexAuthorizationNegativeTest","","integration.tests.negative.YandexAuthorizationNegativeTest","return401WhenInvalidToken","Запрос с невалидным токеном","Запрос с невалидным токеном 401"
